Conversation,Summaries,bart_summary
"say, jim, how about going for a few beers after dinner? you know that is tempting but is really not good for our fitness. what do you mean? it will help us to relax. do you really think so? i don't. it will just make us fat and act silly. remember last time? i guess you are right.but what shall we do? i don't feel like sitting at home. i suggest a walk over to the gym where we can play singsong and meet some of our friends. that's a good idea. i hear mary and sally often go there to play pingpong.perhaps we can make a foursome with them. sounds great to me! if they are willing, we could ask them to go dancing with us.that is excellent exercise and fun, too. good.let ' s go now. all right.","Jim suggests going for beers after dinner, but his friend is hesitant due to health concerns. They discuss alternatives, and the friend proposes a walk to the gym where they can play singsong, meet friends, and potentially set up a foursome with Mary and Sally for pingpong or dancing.","Jim and i are sitting at home in our pyjamas, trying to decide what to do for dinner."
"can you do push-ups? of course i can. it's a piece of cake! believe it or not, i can do 30 push-ups a minute. really? i think that's impossible! you mean 30 push-ups? yeah! it's easy. if you do exercise everyday, you can make it, too.",Person A claims to be able to do 30 push-ups per minute and believes anyone can achieve this with regular exercise.,Do you think you can do 30 push-ups in a minute?
"can you study with the radio on? no, i listen to background music. what is the difference? the radio has too many comerials. that's true, but then you have to buy a record player.","Person A suggests studying with the radio on, but Person B prefers listening to background music instead due to commercials on the radio.",Do you listen to the radio or the record player?
are you all right? i will be all right soon. i was terrified when i watched them fall from the wire. don't worry.he is an acrobat  i see.,"Person A asks if everything is okay, reassures that they will be fine soon, and expresses concern about someone else's well-being due to a scary situation involving an acrobat.",This is the moment a man and a woman fell from the roof of a building in the US.
"hey john, nice skates. are they new? yeah, i just got them. i started playing ice hockey in a community league. so, i finally got myself new skates. what position do you play? i  m a defender. it  s a lot of fun. you don  t have to be able to skate as fast on defense. yeah, you  re a pretty big guy. i play goalie, myself. oh, yeah? which team? the rockets. really? i think we play you guys next week. well, i have to go to practice. see you later. all right, see you later.","John and another person discuss their new ice hockey skates and their positions on the team, with the other person playing defense and John being a goalie for the Rockets.","A few weeks ago, i was talking to a guy named John, who was playing ice hockey in his spare time."
"hey lydia, what are you reading? i  m looking at my horoscope for this month! my outlook is very positive. it says that i should take a vacation to someplace exotic, and that i will have a passionate summer fling! what are you talking about? let me see that... what are horoscopes? it  s a prediction of your month, based on your zodiac sign. you have a different sign for the month and date you were born in. i was born on april 15th, so i  m an aries. when were you born? january 5th. let  s see... you  re a capricorn. it says that you will be feeling stress at work, but you could see new, exciting developments in your love life. looks like we  ll both have interesting summers! that  s bogus. i don't feel any stress at work, and my love life is practically nonexistent. this zodiac stuff is all a bunch of nonsense. no, it  s not, your astrology sign can tell you a lot about your personality. see? it says that an aries is energetic and loves to socialize. well, you certainly match those criteria, but they  re so broad they could apply to anyone. what does it say about me? a capricorn is serious-minded and practical. she likes to do things in conventional ways. that sounds just like you!","Lydia and her friend discuss their horoscopes for the month, with positive predictions for Lydia (Aries) and stress at work but potential developments in love life for her friend (Capricorn).",We asked astrologer Lydia to read out her horoscope for the month of June.
"frank  s getting married, do you believe this? is he really? yes, he is. he loves the girl very much. who is he marring? a girl he met on holiday in spain, i think. have they set a date for the wedding? not yet.","Frank is getting married and it's true. He genuinely loves his fiancée, whom he met while on holiday in Spain. They haven't set a specific date for the wedding yet.","It's that time of the year again, and one of my favourite people is getting married."
"i hear you bought a new house in the northern suburbs. that  s right, we bought it the same day we came on the market. what kind of house is it? it  s a wonderful spanish style. oh, i love the roof tiles on spanish style houses. and it  s a bargaining. a house like this in river side costs double the price. great, is it a two bedroom house? no, it has three bedrooms and three beds, and has a living room with a twelve-foot ceiling. there  s a two-car garage. that  s a nice area too. it  ll be a good investment for you. yeas, when will you buy a house? not untill the end of this year, you know, just before my wedding. right, congratulations. thank you.","Person A recently purchased a new Spanish-style house in the northern suburbs after it went on the market. The house has three bedrooms, three bathrooms, a living room with a high ceiling, and a two-car garage.","A few weeks ago, I was talking to a woman who had just bought a new house in the northern suburbs of Dublin."
"hi, becky, what's up? not much, except that my mother-in-law is driving me up the wall. what's the problem? she loves to nit-pick and criticizes everything that i do. i can never do anything right when she's around. for example? well, last week i invited her over to dinner. my husband and i had no problem with the food, but if you listened to her, then it would seem like i fed her old meat and rotten vegetables. there's just nothing can please her. no, i can't see that happening. i know you're a good cook and nothing like that would ever happen. it's not just that. she also criticizes how we raise the kids. my mother-in-law used to do the same thing to us. if it wasn't disciplining them enough, then we were disciplining them too much. she also complained about the food we fed them, the schools we sent them too, and everything else under the sun. you said she used to? how did you stop her? we basically sat her down and told her how we felt about her constant criticizing, and how we welcomed her advice but hoped she'd let us do our things. she understood, and now everything is a lot more peaceful. that sounds like a good idea. i'll have to try that.","Becky's mother-in-law nitpicks and criticizes everything she does, making her feel like nothing is ever right. Becky shares an example of her mother-in-law complaining about the food at dinner, and how she also criticizes their parenting style. The couple sat down with their mother-in-law to express how her constant criticizing affects them, and she eventually understood and now lets them do things their way.",A mother-in-law has written to her daughter to complain about her constant criticism of her and her husband's parenting.
"how are zina's new programmers working out? i hate to admit it, but they're good. and fast. the filipino kid is a genius. so you'll make the stars.com deadline, and have us up and running next week? it'll be close, but we'll make it. good. after stars.com starts paying us, we won't need vikam's cash anymore. and if we don't need them, we won't need zina, either.","The new programmers, including a Filipino kid, are performing well and efficiently. They will help meet the deadline for Stars.com, allowing the company to start paying on time and potentially reduce reliance on Vikam's cash and Zina herself.","In case you missed it, here's the full text of our interview with vikam."
